Yaer,Month,Date,Concentration
2018,1,1,17
2018,1,2,9
2018,1,3,8
2018,1,4,10
2018,1,5,6
2018,1,6,4
2018,1,7,4
2018,1,8,6
2018,1,9,21
2018,1,10,14
2018,1,11,13
2018,1,12,14
2018,1,13,5
2018,1,14,6
2018,1,15,7
2018,1,16,21
2018,1,17,21
2018,1,18,9
2018,1,19,12
2018,1,20,14.0
2018,1,21,12
2018,1,22,16
2018,1,23,11
2018,1,24,15
2018,1,25,7
2018,1,26,4
2018,1,27,5
2018,1,28,8
2018,1,29,11
2018,1,30,7
2018,1,31,8
2018,2,1,30
2018,2,2,14
2018,2,3,29
2018,2,4,8
2018,2,5,14
2018,2,6,20
2018,2,7,14
2018,2,8,12
2018,2,9,16
2018,2,10,17
2018,2,11,21
2018,2,12,22
2018,2,13,18
2018,2,14,25
2018,2,15,25
2018,2,16,31
2018,2,17,16
2018,2,18,26
2018,2,19,33
2018,2,20,18
2018,2,21,10
2018,2,22,13
2018,2,23,18
2018,2,24,28
2018,2,25,18
2018,2,26,17
2018,2,27,20
2018,2,28,30
2018,3,1,17
2018,3,2,31
2018,3,3,39
2018,3,4,36
2018,3,5,27
2018,3,6,12
2018,3,7,11
2018,3,8,10
2018,3,9,29
2018,3,10,9
2018,3,11,9
2018,3,12,16
2018,3,13,24
2018,3,14,29
2018,3,15,24
2018,3,16,21
2018,3,17,12
2018,3,18,23
2018,3,19,30
2018,3,20,15
2018,3,21,13
2018,3,22,15
2018,3,23,20
2018,3,24,23
2018,3,25,19
2018,3,26,24
2018,3,27,26
2018,3,28,19
2018,3,29,15
2018,3,30,11
2018,3,31,16
2018,4,1,19
2018,4,2,28
2018,4,3,25
2018,4,4,22
2018,4,5,23
2018,4,6,20
2018,4,7,22
2018,4,8,15
2018,4,9,15
2018,4,10,21
2018,4,11,21
2018,4,12,18
2018,4,13,21
2018,4,14,17
2018,4,15,13
2018,4,16,14
2018,4,17,13
2018,4,18,13
2018,4,19,14
2018,4,20,14
2018,4,21,30
2018,4,22,28
2018,4,23,18
2018,4,24,12
2018,4,25,20
2018,4,26,19
2018,4,27,21
2018,4,28,19
2018,4,29,29
2018,4,30,27
2018,5,1,24
2018,5,2,20
2018,5,3,24
2018,5,4,12
2018,5,5,17
2018,5,6,15
2018,5,7,16
2018,5,8,7
2018,5,9,12
2018,5,10,12
2018,5,11,15
2018,5,12,19
2018,5,13,26
2018,5,14,17
2018,5,15,20
2018,5,16,16
2018,5,17,12
2018,5,18,17
2018,5,19,17
2018,5,20,16
2018,5,21,12
2018,5,22,21
2018,5,23,14
2018,5,24,17
2018,5,25,18
2018,5,26,13
2018,5,27,14
2018,5,28,16
2018,5,29,20
2018,5,30,16
2018,5,31,13
2018,6,1,9
2018,6,2,14
2018,6,3,13
2018,6,4,13
2018,6,5,16
2018,6,6,15
2018,6,7,10
2018,6,8,9
2018,6,9,7
2018,6,10,12
2018,6,11,14
2018,6,12,23
2018,6,13,22
